Code;Libellé;Centroide_X;Centroide_Y
1277;Nivollet-Montgriffon;5,458239863;45,99978044
1279;Oncieu;5,471507255;45,96531127
1280;Ordonnaz;5,540079281;45,83381381
1281;Ornex;6,093996429;46,27733034
1282;Outriaz;5,556646999;46,06739235
1283;Oyonnax;5,652531466;46,26119281
1284;Ozan;4,917564248;46,38738292
1285;Parcieux;4,828316413;45,91853463
1286;Parves;5,737908282;45,74411033
1288;Péron;5,919680944;46,191743
1289;Péronnas;5,217757315;46,17141336
1290;Pérouges;5,179599789;45,8809328
1291;Perrex;4,974413734;46,24655855
1292;Le Petit-Abergement;5,651411158;46,06727013
1293;Peyriat;5,505937106;46,14997157
1294;Peyrieu;5,679703139;45,67645976
1295;Peyzieux-sur-Saône;4,822993536;46,12237634
1296;Pirajoux;5,27451005;46,38522047
1297;Pizay;5,089169355;45,89208462
1298;Plagne;5,717712927;46,18776615
1299;Le Plantay;5,089000759;46,02294009
1300;Le Poizat;5,675504522;46,14288625
1301;Polliat;5,13804234;46,24638261
1302;Pollieu;5,748244965;45,79695582
1303;Poncin;5,416308329;46,08932548
1304;Pont-d'Ain;5,347021976;46,05420886
1305;Pont-de-Vaux;4,929249283;46,44213809
1306;Pont-de-Veyle;4,882097993;46,26313979
1307;Port;5,576129581;46,15598577
1308;Pougny;5,950206683;46,14495714
1309;Pouillat;5,423634351;46,32238177
1310;Prémeyzel;5,644298183;45,68062961
1311;Prémillieu;5,564451524;45,8765632
1312;Pressiat;5,381776511;46,31903992
1313;Prévessin-Moëns;6,072341516;46,2583281
1314;Priay;5,284384196;46,02008106
1316;Pugieu;5,648799802;45,81813774
1317;Ramasse;5,355628823;46,19048186
1318;Rancé;4,864016404;45,96778944
1319;Relevant;4,941650348;46,08410306
1320;Replonges;4,875166158;46,30764527
1321;Revonnas;5,335572227;46,16171369
1322;Reyrieux;4,828875393;45,93692618
1323;Reyssouze;4,913190893;46,42885037
1325;Rignieux-le-Franc;5,169270072;45,95199926
1328;Romans;5,021408404;46,12386582
1329;Rossillon;5,599217875;45,83648156
1330;Ruffieu;5,653111665;46,0041873
1331;Saint-Alban;5,454763981;46,098148
1332;Saint-André-de-Bâgé;4,914096416;46,29802059
1333;Saint-André-de-Corcy;4,953354786;45,92686939
1334;Saint-André-d'Huiriat;4,913038195;46,21400008
1335;Saint-André-le-Bouchoux;5,079818143;46,11334115
1336;Saint-André-sur-Vieux-Jonc;5,141384791;46,14937944
1337;Saint-Bénigne;4,95309046;46,45205153
1338;Saint-Benoît;5,584190661;45,68912561
1339;Saint-Bernard;4,741740147;45,94947698
1340;Saint-Bois;5,626676694;45,69725319
1341;Saint-Champ;5,732302485;45,78295339
1342;Sainte-Croix;5,04944703;45,8960087
1343;Saint-Cyr-sur-Menthon;4,967878816;46,27569321
1344;Saint-Denis-lès-Bourg;5,184526768;46,21124107
1345;Saint-Denis-en-Bugey;5,32504048;45,94873355
1346;Saint-Didier-d'Aussiat;5,058433174;46,30740945
1347;Saint-Didier-de-Formans;4,777914982;45,95654712
1348;Saint-Didier-sur-Chalaronne;4,816163831;46,1843829
1349;Saint-Éloi;5,151323843;45,93307702
1350;Saint-Étienne-du-Bois;5,283824076;46,27474516
1351;Saint-Étienne-sur-Chalaronne;4,867301423;46,14690873
